t,des_Base_Revolute-1,des_Arm-1_Revolute-2,des_Arm-2_Revolute-3,des_Arm-3_Revolute-4,des_Arm-4_Revolute-5,des_Arm-5_Revolute-6,act_Base_Revolute-1,act_Arm-1_Revolute-2,act_Arm-2_Revolute-3,act_Arm-3_Revolute-4,act_Arm-4_Revolute-5,act_Arm-5_Revolute-6,ee_act_x,ee_act_y,ee_act_z,ee_des_x,ee_des_y,ee_des_z
0.48753399700000005,-2.490053496506098,1.7919679264465689,-1.945404604672138,-0.15344728326771354,-2.2223355936571974,1.5707886968208966,-2.4900534962959036,1.793313699737622,-1.9469573688362098,-0.15365434283174173,-2.2223355936471028,1.5707886487814322,0.10069759746912849,0.0005320165157823888,0.3023672702656066,nan,nan,nan
0.49758847100000003,-2.4900534967330783,1.7905146851835767,-1.9437278430877545,-0.15322368876993803,-2.2223355936680935,1.5707887486965968,-2.490053496520926,1.7918729894728287,-1.9452950656194252,-0.15343267634298993,-2.222335593657908,1.5707887002098189,0.10093952070755638,0.0007165157633076472,0.3032176449867603,nan,nan,nan
0.507560107,-2.490053496965581,1.7890260860536211,-1.9420102853090022,-0.1529946541400197,-2.2223355936792553,1.570788801834451,-2.4900534967494727,1.7904097197312157,-1.9436067330948759,-0.15320753887179217,-2.2223355936688787,1.5707887524435014,0.10093952070755638,0.0007165157633076472,0.3032176449867603,nan,nan,nan
0.517497991,-2.4900534972046557,1.7874954123248314,-1.94024418151604,-0.1527591459471528,-2.222335593690732,1.5707888564742232,-2.4900534969841104,1.7889074533567677,-1.9418734059383105,-0.15297640141095248,-2.2223355936801434,1.5707888060692288,0.10093952070755638,0.0007165157633076472,0.3032176449867603,nan,nan,nan
0.527565779,-2.4900534974543547,1.785896712946506,-1.9383995891755814,-0.1525131713841579,-2.222335593702719,1.5707889135422763,-2.4900534972003463,1.7875230171445782,-1.9402760321809507,-0.15276339320129168,-2.222335593690513,1.570788855488826,0.10093952070755638,0.0007165157633076472,0.3032176449867603,nan,nan,nan
0.537527598,-2.4900534977089364,1.7842667540711605,-1.9365189293733152,-0.15226238726082714,-2.2223355937149405,1.5707889717261858,-2.490053497449154,1.7859300278508135,-1.9384380281824822,-0.15251829718718093,-2.2223355937024576,1.5707889123530492,0.10093952070755638,0.0007165157633076472,0.3032176449867603,nan,nan,nan
0.547519132,-2.490053497971789,1.782583840377587,-1.9345771698712444,-0.1520034555529982,-2.222335593727559,1.5707890318003996,-2.4900534977150905,1.784227361075132,-1.9364734774136738,-0.1522563262865162,-2.22233559371523,1.5707889731323796,0.101221351927955,0.0009314502509833004,0.3042291037109428,nan,nan,nan
0.557630182,-2.490053498245457,1.7808316832526552,-1.9325555167351087,-0.151733870108138,-2.2223355937406963,1.570789094346365,-2.490053497981658,1.7825206620791003,-1.9345042742362464,-0.1519937349917455,-2.222335593728028,1.5707890340556467,0.101221351927955,0.0009314502509833004,0.3042291037109428,nan,nan,nan
0.5675273080000001,-2.490053498520898,1.779068172080092,-1.9305207632065056,-0.15146253773890783,-2.2223355937539186,1.5707891572976307,-2.4900534982601994,1.780737294692631,-1.9324466104466005,-0.15171934756189553,-2.222335593741403,1.5707890977157108,0.101221351927955,0.0009314502509833004,0.3042291037109428,nan,nan,nan
0.577560602,-2.4900534988077205,1.777231790671582,-1.9284019314072174,-0.1511799936154946,-2.222335593767688,1.5707892228501126,-2.4900534985416987,1.7789349976624613,-1.9303671054801539,-0.15144204763272034,-2.2223355937549165,1.570789162051498,0.101221351927955,0.0009314502509833004,0.3042291037109428,nan,nan,nan
0.587487765,-2.4900534990990986,1.7753662433755635,-1.9262494477697973,-0.15089296205277195,-2.2223355937816756,1.570789289443716,-2.490053498828574,1.7770982776028115,-1.928247882942427,-0.15115945140472314,-2.2223355937686877,1.5707892276160687,0.101221351927955,0.0009314502509833004,0.3042291037109428,nan,nan,nan
0.5975112800000001,-2.4900534994009407,1.7734336984224792,-1.9240196616909506,-0.15059562228599177,-2.2223355937961657,1.5707893584289048,-2.490053499092897,1.775405965479017,-1.9262952794551653,-0.15089907366214553,-2.2223355937813647,1.570789288025774,0.10154110803177517,0.0011753075958180793,0.3054055479548841,nan,nan,nan
0.607664249,-2.4900534997145103,1.7714260687493832,-1.9217032422517004,-0.15028673004634338,-2.2223355938112186,1.570789430094359,-2.4900534994251826,1.7732784904895025,-1.9238405815154558,-0.15057174212137028,-2.2223355937973284,1.5707893639692925,0.10154110803177517,0.0011753075958180793,0.3054055479548841,nan,nan,nan
0.617599968,-2.4900535000290764,1.769412059955864,-1.9193794625314424,-0.14997685632050714,-2.22233559382632,1.5707895019875255,-2.490053499734335,1.7712991459400746,-1.921556797681857,-0.15026720180743774,-2.22233559381217,1.5707894346250653,0.10154110803177517,0.0011753075958180793,0.3054055479548841,nan,nan,nan
0.6275671260000001,-2.490053500352255,1.7673429134099894,-1.9169920644242355,-0.14965849914573484,-2.222335593841834,1.5707895758489199,-2.4900535000188233,1.7694777268770676,-1.919455229558467,-0.14998695977805973,-2.222335593825814,1.570789499643443,0.10154110803177517,0.0011753075958180793,0.3054055479548841,nan,nan,nan
0.637538483,-2.490053500683211,1.7652239639524023,-1.9145472033125874,-0.1493324793361918,-2.222335593857722,1.5707896514881063,-2.4900535003428366,1.7674032321603925,-1.9170616606883086,-0.14966777973815393,-2.2223355938413683,1.5707895736957487,0.10154110803177517,0.0011753075958180793,0.3054055479548841,nan,nan,nan
